"Cikkszám","Termék Név","Nettó Ár","Bruttó Ár","Kategória","Raktárkészlet","Vásárolható, ha nincs Raktáron","Változatokhoz Raktárkészlet","Alacsony készlet","Paraméter: Minőség||text","Paraméter: Kiszerelés||enum","Paraméter: Szín||text","Paraméter: 1 m2 felülethez||text","Paraméter: Család||text","Paraméter: Kategória||text","Paraméter: Téli hangulat minta||text","Paraméter: Szélesség||text","Paraméter: Hossz||text","Paraméter: Méret||text","Paraméter: Ablakfólia típus||text","Paraméter: Beláthatóság||text","Paraméter: Felhelyezés||text","Paraméter: Felület||text","Paraméter: Hővisszaverés||text","Paraméter: Kopóréteg||text","Paraméter: Öntapadós padló|Padló|text","Paraméter: Padló típusa|Padló|text","Paraméter: UV védelem||text","Paraméter: Vastagság||text","Paraméter: Csomag kiszerelés||enum","Paraméter: Videó segítség|Videók|html","Paraméter: VIP ár||text","Paraméter: m2/doboz||text","Paraméter: m2/tekercs||text","Paraméter: m2/csomag||text","Paraméter: Felhelyezés nehézsége||text","Paraméter: Eltávolítható||text","Paraméter: Illesztés||text","Paraméter: Tisztítása||text","Paraméter: ELŐFIZETÉS||text","Paraméter: Konzultáció||enum","Paraméter: brand||text","Paraméter: ean||text","Paraméter: mpn||text","Paraméter: Lépésmélység||text","Paraméter: Lehajló perem||text","Paraméter: Áremelés||text","Paraméter: Szivacs színe||text","Paraméter: FJ-SKU||text","Paraméter: FJ-Beszállító||text","Paraméter: FJ-Listaár||num","Paraméter: FJ-UOM||text"
"346-8032","Barna Márványerezet Öntapadós Fólia (Cortes Braun) (2 m x 67,5 cm)","2543.31","3230","Öntapadós fólia|Márvány Öntapadós Fólia","58","0","0","","Standard","Tekercs","Kő mintás","","Öntapadós fólia","","","67,5 cm","2 m","2 m x 67,5 cm","","","Öntapadós","Bútor","","","","","","0,9 mm - 0,11 mm","1 db","","","","1.34","","2","igen","Mintát egymáshoz illesztve","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","4007386068293","","","","","","","","",""
"346-8050","Bézs Apró Kavicsos Öntapadós Fólia (Porrinho Beige) (2 m x 67,5 cm)","2543.31","3230","Öntapadós fólia|Márvány Öntapadós Fólia","31","0","0","","Standard","Tekercs","Kő mintás","","Öntapadós fólia","","","67,5 cm","2 m","2 m x 67,5 cm","","","Öntapadós","Bútor","","","","","","0,9 mm - 0,11 mm","1 db","","","","1.34","","2","igen","Mintát egymáshoz illesztve","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","4007386081285","","","","","","","","",""
"346-0280","Bézs Gránit Öntapadós Fólia (Sabbia Beige) (2 m x 45 cm)","1976.38","2510","Öntapadós fólia|Márvány Öntapadós Fólia","33","0","0","","Standard","Tekercs","Márvány mintás","","Öntapadós fólia","","","45 cm","2 m","2 m x 45 cm","","","Öntapadós","Bútor","","","","","","0,9 mm - 0,11 mm","1 db","","","","","","2","igen","Észrevétlen ","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","4007386121691","","","","","","","","",""
"346-0099","Bézs Kő Öntapadós Fólia (Fontana Beige) (2 m x 45 cm)","1976.38","2510","Öntapadós fólia|Márvány Öntapadós Fólia","46","0","0","","Standard","Tekercs","Márvány mintás","","Öntapadós fólia","","","45 cm","2 m","2 m x 45 cm","","","Öntapadós","Bútor","","","","","","0,9 mm - 0,11 mm","1 db","","","","","","2","igen","Észrevétlen ","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","4007386052735","","","","","","","","",""
"346-8031","Fehér Márvány Öntapadós Fólia (Marmi Weiss) (2 m x 67,5 cm)","2543.31","3230","Öntapadós fólia|Márvány Öntapadós Fólia","54","0","0","","Standard","Tekercs","Márvány mintás","","Öntapadós fólia","","","67,5 cm","2 m","2 m x 67,5 cm","","","Öntapadós","Bútor","","","","","","0,9 mm - 0,11 mm","1 db","","","","1.34","","2","igen","Mintát egymáshoz illesztve","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","4007386068286","","","","","","","","",""
"346-8176","Fekete Ezüst Gránit Öntapadós Fólia (Romeo Silver) (2 m x 67,5 cm)","2543.31","3230","Öntapadós fólia|Márvány Öntapadós Fólia","15","0","0","","Standard","Tekercs","Márvány mintás","","Öntapadós fólia","","","67,5 cm","2 m","2 m x 67,5 cm","","","Öntapadós","Bútor","","","","","","0,9 mm - 0,11 mm","1 db","","","","1.34","","2","igen","Mintát egymáshoz illesztve","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","4007386349347","","","","","","","","",""
"346-8180","Fekete Gránit Öntapadós Fólia (Black Granite) (2 m x 67,5 cm)","2543.31","3230","Öntapadós fólia|Márvány Öntapadós Fólia","0","0","0","","Standard","Tekercs","Márvány mintás","","Öntapadós fólia","","","67,5 cm","2 m","2 m x 67,5 cm","","","Öntapadós","Bútor","","","","","","0,9 mm - 0,11 mm","1 db","","","","1.34","","2","igen","Vékony csík látható ","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","4007386349705","","","","","","","","",""
"346-8027","Fekete Márvány Öntapadós Fólia (Marmi Schwarz) (2 m x 67,5 cm)","2543.31","3230","Öntapadós fólia|Márvány Öntapadós Fólia","24","0","0","","Standard","Tekercs","Márvány mintás","","Öntapadós fólia","","","67,5 cm","2 m","2 m x 67,5 cm","","","Öntapadós","Bútor","","","","","","0,9 mm - 0,11 mm","1 db","","","","1.34","","2","igen","Mintát egymáshoz illesztve","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","4007386068248","","","","","","","","",""
"FOL-EM-MAR-01-10055","Howlit Öntapadós Prémium Fólia (2,5 m x 55 cm)","9133.85826772","11600","Öntapadós fólia|Márvány Öntapadós Fólia","0","0","0","","Prémium","Tekercs","Márványmintás","","Öntapadós fólia","","","55 cm","2,5  m","2,5 m x 55 cm","","","Öntapadós","Bútor","","","","","","0,14 mm","","","","","","","2","igen","Vékony csík látható","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","","FOL-EM-MAR-01-10055","","","","","","","",""
"FOL-EM-MAR-01-10067","Howlit Öntapadós Prémium Fólia (2,5 m x 67 cm)","11122.0472441","14125","Öntapadós fólia|Márvány Öntapadós Fólia","0","0","0","","Prémium","Tekercs","Márványmintás","","Öntapadós fólia","","","67 cm","2,5  m","2,5 m x 67 cm","","","Öntapadós","Bútor","","","","","","0,14 mm","","","","","","","2","igen","Vékony csík látható","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","","FOL-EM-MAR-01-10067","","","","","","","",""
"FOL-EM-MAR-01-100122","Howlit Öntapadós Prémium Fólia (2,5m x 61 cm)","9834.64566929","12490","Öntapadós fólia|Márvány Öntapadós Fólia","6","0","0","","Prémium","Tekercs","Márványmintás","","Öntapadós fólia","","","61 cm","2,5  m","2,5 m x 61 cm","","","Öntapadós","Bútor","","","","","","0,14 mm","","","","","","","2","igen","Vékony csík látható","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","","FOL-EM-MAR-01-100122","","","","","","","",""
"346-8149","Sötét Szürke Gránit Öntapadós Fólia (Romeo) (2 m x 67,5 cm)","2543.31","3230","Öntapadós fólia|Márvány Öntapadós Fólia","27","0","0","","Standard","Tekercs","Márvány mintás","","Öntapadós fólia","","","67,5 cm","2 m","2 m x 67,5 cm","","","Öntapadós","Bútor","","","","","","0,9 mm - 0,11 mm","1 db","","","","1.34","","2","igen","Mintát egymáshoz illesztve","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","4007386340283","","","","","","","","",""
"346-8049","Szürke Apró Kavicsos Öntapadós Fólia (Porrinho Graublau) (2 m x 67,5 cm)","2543.31","3230","Öntapadós fólia|Márvány Öntapadós Fólia","16","0","0","","Standard","Tekercs","Márvány mintás","","Öntapadós fólia","","","67,5 cm","2 m","2 m x 67,5 cm","","","Öntapadós","Bútor","","","","","","0,9 mm - 0,11 mm","1 db","","","","1.34","","2","igen","Mintát egymáshoz illesztve","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","4007386081278","","","","","","","","",""
"346-8177","Szürke Arany Gránit Öntapadós Fólia ( Romeo Gold) (2 m x 67,5 cm)","2543.31","3230","Öntapadós fólia|Márvány Öntapadós Fólia","4","0","0","","Standard","Tekercs","Márvány mintás","","Öntapadós fólia","","","67,5 cm","2 m","2 m x 67,5 cm","","","Öntapadós","Bútor","","","","","","0,9 mm - 0,11 mm","1 db","","","","1.34","","2","igen","Mintát egymáshoz illesztve","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","4007386349439","","","","","","","","",""
"346-8306","Szürke Márvány Öntapadós Fólia (Marmi Grau) (2 m x 67,5 cm)","2543.31","3230","Öntapadós fólia|Márvány Öntapadós Fólia","89","0","0","","Standard","Tekercs","Márvány mintás","","Öntapadós fólia","","","67,5 cm","2 m","2 m x 67,5 cm","","","Öntapadós","Bútor","","","","","","0,9 mm - 0,11 mm","1 db","","","","1.34","","2","igen","Mintát egymáshoz illesztve","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","4007386128300","","","","","","","","",""
"346-8030","Szürke Márványerezet Öntapadós Fólia (Cortes Grau) (2 m x 67,5 cm)","2543.31","3230","Öntapadós fólia|Márvány Öntapadós Fólia","38","0","0","","Standard","Tekercs","Márvány mintás","","Öntapadós fólia","","","67,5 cm","2 m","2 m x 67,5 cm","","","Öntapadós","Bútor","","","","","","0,9 mm - 0,11 mm","1 db","","","","1.34","","2","igen","Mintát egymáshoz illesztve","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","4007386068279","","","","","","","","",""
"346-8178","Világos Szürke Gránit Matt Öntapadós Fólia (Romeo Matt White) (2 m x 67,5 cm)","2543.31","3230","Öntapadós fólia|Márvány Öntapadós Fólia","17","0","0","","Standard","Tekercs","Márvány mintás","","Öntapadós fólia","","","67,5 cm","2 m","2 m x 67,5 cm","","","Öntapadós","Bútor","","","","","","0,9 mm - 0,11 mm","1 db","","","","1.34","","2","igen","Mintát egymáshoz illesztve","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","4007386349521","","","","","","","","",""
"346-0223","Világos Szürke Gránit Öntapadós Fólia (Sabbia Hellgrau) (2 m x 45 cm)","1976.38","2510","Öntapadós fólia|Márvány Öntapadós Fólia","12","0","0","","Standard","Tekercs","Márvány mintás","","Öntapadós fólia","","","45 cm","2 m","2 m x 45 cm","","","Öntapadós","Bútor","","","","","","0,9 mm - 0,11 mm","1 db","","","","","","2","igen","Észrevétlen ","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","4007386098399","","","","","","","","",""
"13427","BetonBlock Öntapadós Fólia 45 cm (2 m x 45 cm)","1566.92913386","1990","Öntapadós fólia|Beton/Tégla/Kő Öntapadós Fólia","0","0","0","","Basic","Tekercs","Betonhatású","","Öntapadós fólia","","","45 cm","2 m","2 m x 45 cm","","","Öntapadós","Fal, bútor","","","","","","0,8 mm - 0,9 mm","1 db","","","","","","2","igen","","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","4007386217530","","","","","","","","",""
"13428","BetonBlock Öntapadós Fólia 67,5 cm (2 m x 67,5 cm)","2354.33070866","2990","Öntapadós fólia|Beton/Tégla/Kő Öntapadós Fólia","0","0","0","","Basic","Tekercs","Betonhatású","","Öntapadós fólia","","","67,5 cm","2 m","2 m x 67,5 cm","","","Öntapadós","Fal, bútor","","","","","","0,8 mm - 0,9 mm","1 db","","","","","","2","igen","","Általános tiszítószerrel, enyhén nedves ruhával","","","Fóliás Juci","4007386217530","","","","","","","","",""
