State,Id,Name,Url,SefUrl,Display,DisableFilter,Parent,Order,Products,Meta,AutomaticMeta,LastModTime,Image,Texts
live,301800,Fóliás Jucis termékek,https://foliasjuci.hu/folias-jucis-termekeink,folias-jucis-termekeink,"{'Page': 'yes', 'Menu': 'yes'}",no,{'Id': '0'},12,"{'All': '1', 'New': '0'}","{'Robots': 'noindex, follow'}","{'Keywords': 'Fóliás Jucis termékek, Fóliás Juci', 'Description': 'Fóliás Jucis termékek, Fóliás Juci', 'Title': 'Fóliás Jucis termékek - Fóliás Juci'}",1671442887,{'Url': 'https://foliasjuci.hu/img/86997/catpic_301800/301800.jpg?time=1625134420'},
live,316582,Megoldások,https://foliasjuci.hu/megoldasok,megoldasok,"{'Page': 'no', 'Menu': 'no'}",no,{'Id': '0'},13,"{'All': '1313', 'New': '0'}","{'Description': 'Lakásfelújításra keresel megoldást? Itt egy helyen megtalász mindent. Házilag (DIY) feltehető öntapadós termékek falra, padlóra, bútorra, ablakra.', 'Title': 'Otthonszépítő és lakásfelújító ötletek Fóliás Jucitól'}","{'Keywords': 'Megoldások, Fóliás Juci'}",1671442887,,"{'Top': '<p style=""text-align: center;"">Hogyan használd a MEGOLDÁSOK kategóriákat?</p>\n<p style=""text-align: center;"">Ezekkel a kategóriával azoknak szerettünk volna segíteni, akik<strong> most ismerkednek a fóliázás rejtelmeivel.</strong></p>\n<p style=""text-align: center;"">Itt <strong>nem a termék oldalról</strong> szerettünk volna segíteni a választásban, hanem a <strong>problémád oldaláról.\xa0</strong></p>\n<p style=""text-align: center;"">Ha már tudod, hogy mit szeretnél lefóliázni, de azt még nem, hogy melyik termék való neked, akkor ezek a kategóriák segítenek eligazodni.</p>\n<p style=""text-align: center;""></p>\n<p style=""text-align: center;"">Ha mégis elakadsz, akkor gyere a <a href=""https://go.foliasjuci.hu/csatlakozz-folias-juci-zart-csoportjaihoz33271113"" target=""_blank"" rel=""noopener"">Facebook zárt csoportunkba</a> és rengeteg ötletet és inspirációt fogsz ott kapni.</p>'}"
live,563166,Ablakra,https://foliasjuci.hu/megoldasok/ablakra,megoldasok/ablakra,"{'Page': 'yes', 'Menu': 'yes'}",no,"{'Id': '316582', 'Tree': 'Megoldások'}",0,"{'All': '124', 'New': '0'}","{'Description': 'Ezt a Házilag (DIY) feltehető és visszaszedhető öntapadós belátás/kilátás elleni ablakfóliát gyerekjáték feltenni az ablakra! Neked is sikerülni fog,mindenben segítünk!', 'Title': 'Otthonszépítő és lakásfelújító ötletek ablakra, üvegre - Fóliás Jucitól'}","{'Keywords': 'Ablakra, Megoldások, Fóliás Juci'}",1660665226,{'Url': 'https://foliasjuci.hu/img/86997/catpic_563166/563166.jpg?time=1617282017'},"{'Top': '<p style=""text-align: center;""><iframe width=""560"" height=""314"" src=""//www.youtube.com/embed/eHigzaYZ1FU"" allowfullscreen=""allowfullscreen""></iframe></p>\n<p style=""text-align: center;"">Nézz bele a videóba, nem fogod megbánni.\xa0</p>\n<p style=""text-align: center;"">Ebben a kategóriában ablakra adunk tippeket.\xa0</p>\n<p style=""text-align: center;"">Válogass és vásárolj nálunk!</p>'}"
live,709385,Ajtóra,https://foliasjuci.hu/megoldasok/ajtora,megoldasok/ajtora,"{'Page': 'yes', 'Menu': 'yes'}",no,"{'Id': '316582', 'Tree': 'Megoldások'}",0,"{'All': '399', 'New': '0'}","{'Description': 'Felújítanád az ajtódat? Válaszd az öntapadós fóliát Fóliás Jucitól! Házilag (DIY), szakember nélkül, gyorsan, por és kosz nélkül', 'Title': 'Otthonszépítő és lakásfelújító ötletek -  AJTÓRA -  Fóliás Jucitól'}","{'Keywords': 'Ajtóra, Megoldások, Fóliás Juci'}",1660665004,{'Url': 'https://foliasjuci.hu/img/86997/catpic_709385/709385.jpg?time=1617282017'},"{'Top': '<p style=""text-align: center;""><iframe width=""562"" height=""315"" src=""//www.youtube.com/embed/FDKDJHu3-og"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen=""allowfullscreen""></iframe></p>\n<p style=""text-align: center;"">Nézz bele ebbe a videóba, nem fogod megbánni. Kiderül majd, hogy az ajtó mellett még a keretet és küszöböt is meg tudod szépíteni.</p>'}"
live,317089,Bútorra,https://foliasjuci.hu/megoldasok/butorra,megoldasok/butorra,"{'Page': 'yes', 'Menu': 'yes'}",no,"{'Id': '316582', 'Tree': 'Megoldások'}",0,"{'All': '240', 'New': '0'}","{'Description': 'Felújítanád bútoraidat? Fóliás Juci öntapadós fóliáival Házilag (DIY),szakember nélkül,gyorsan,por és kosz nélkül.', 'Title': 'Bútorfelújító ötletek Fóliás Jucitól -  Kosz, por és szakember nélkül'}","{'Keywords': 'Bútorra, Megoldások, Fóliás Juci'}",1660665004,{'Url': 'https://foliasjuci.hu/img/86997/catpic_317089/317089.jpg?time=1617368298'},"{'Top': '<p style=""text-align: center;"">Hamarosan készül egy videó, amiben bemutatjuk milyen bútorokat tudsz fóliánkkal megszépíteni.</p>\n<p style=""text-align: center;"">Nincs kifejezetten külön bútorra való fólia. Ezeket egyaránt tudod ajtóra, konyhapultra, műszaki cikkekre használni.</p>\n<p style=""text-align: center;"">Konyhapultra a strapabíróbb prémium fóliákat javasoljuk.\xa0</p>\n<p style=""text-align: center;""></p>'}"
live,302819,Falra/Csempére,https://foliasjuci.hu/megoldasok/falra/csempere,megoldasok/falra/csempere,"{'Page': 'yes', 'Menu': 'yes'}",no,"{'Id': '316582', 'Tree': 'Megoldások'}",0,"{'All': '499', 'New': '0'}","{'Description': 'Csempére, falra keresel megoldást? Itt egy helyen megtalász mindent. Házilag (DIY), szakember nélkül, gyorsan, por és kosz nélkül', 'Title': 'Lakásfelújító ötletek csempére, falra Fóliás Jucitól'}","{'Keywords': 'Falra/Csempére, Megoldások, Fóliás Juci'}",1660665004,{'Url': 'https://foliasjuci.hu/img/86997/catpic_302819/302819.jpg?time=1617368298'},"{'Top': '<p style=""text-align: center;"">Ha a <span style=""color: #ff0000;""><strong>faladat</strong> </span>szeretnéd megszépíteni, akkor érdemes elgondolkodnod azon, hogy szeretnél-e 3D hatást?</p>\n<p style=""text-align: center;"">Ha igen, akkor javaslom az öntapadós 3D csempéket.</p>\n<p style=""text-align: center;"">Ha megelégedsz egy sík mintával, akkor válaszd a fóliákat és nézd meg a kínálatunkat.</p>\n<p style=""text-align: center;""><strong><span style=""color: #ff0000;"">Csempénél</span> </strong>azt kell eldöntened, hogy zavar-e ha látszik a fuga? A fóliánál sajnos látszik. Sok embert ez idegesít, így rájuk gondolva kutattuk fel évekkel ezelőtt a 3D csempét. Amerikában leltünk rá erre a csodás megoldásra. Szerelem volt első látásra. Ez a csempematrica tökéletesen elrejti a fugákat, olyan hatása van, mint az igazinak.</p>\n<p style=""text-align: center;""></p>\n<p style=""text-align: center;""></p>'}"
live,379025,Padlóra,https://foliasjuci.hu/megoldasok/padlora,megoldasok/padlora,"{'Page': 'yes', 'Menu': 'yes'}",no,"{'Id': '316582', 'Tree': 'Megoldások'}",0,"{'All': '50', 'New': '0'}","{'Description': 'Házilag (DIY), szakember nélkül letehető padlót keresel? Ezzel a padlóval gyorsan, por és kosz nélkül tudod felújítani lakásodat.', 'Title': 'Otthonszépítő és lakásfelújító ötletek -  Padlóra -  Fóliás Jucitól'}","{'Keywords': 'Padlóra, Megoldások, Fóliás Juci'}",1660665004,{'Url': 'https://foliasjuci.hu/img/86997/catpic_379025/379025.jpg?time=1617368298'},"{'Top': '<p style=""text-align: center;"">Padló burkolására két terméket tudok ajánlani.</p>\n<p style=""text-align: center;"">Az egyik az <span style=""color: #ff0000;""><strong>öntapadós padló</strong></span>. Kedvezőbb áron elérhető, ollóval, szikével könnyedén méretre vágható.\xa0</p>\n<p style=""text-align: center;"">A r<strong><span style=""color: #ff0000;"">agasztó nélküli klick vinyl</span></strong> padló ezzel szemben jóval több ideig bírja, vastagabb a kopóréteg. Kicsivel nehezebb a lerakása, de nem igényel szakit. Dekopírfűrész nélkül simán szikével vágható.</p>'}"
live,598936,3D Csempematrica,https://foliasjuci.hu/termekek/3d-csempe,termekek/3d-csempe,"{'Page': 'yes', 'Menu': 'yes'}",no,{'Id': '0'},4,"{'All': '52', 'New': '3'}","{'Description': 'Öntapadós 3D csempematricákkal saját magad, szaki nélkül tudod gyorsan, por és kosz nélkül felújítani fürdőszobádat, konyhádat.', 'Title': 'Öntapadós 3D csempematrica -  gyorsan, por és kosz nélkül'}","{'Keywords': '3D Csempematrica, Fóliás Juci'}",1671442887,{'Url': 'https://foliasjuci.hu/img/86997/catpic_598936/598936.jpg?time=1619105616'},"{'Top': '<p><iframe width=""720"" height=""405"" class=""_vs_ictr_player"" src=""https://swiftcdn6.global.ssl.fastly.net/projects/6040a1f8c32ea/index.html?cb=1c71mlufgi29ac11bycpm6"" frameborder=""0"" allow=""autoplay *"" scrolling=""no""></iframe></p>\n<p>\n<script src=""https://vsplayer.global.ssl.fastly.net/player-wrapper-v4.js""></script>\n</p>\n<p style=""text-align: justify;""><br /><span style=""font-family: verdana, geneva, sans-serif;""><span style=""font-size: 15px;"">Az öntapadós\xa0<strong>csempematrica</strong> nem fólia. </span></span></p>\n<p style=""text-align: justify;""><span style=""font-family: verdana, geneva, sans-serif;""><span style=""font-size: 15px;"">A mi csempematricánk több milliméter vastag. Ha ezt a <strong>fürdőd</strong> vagy a <strong>konyhád</strong> falára ragasztod tisztára olyan lesz, mint az igazi csempe.</span></span></p>\n<p style=""text-align: justify;""><span style=""font-family: verdana, geneva, sans-serif;""><span style=""font-size: 15px;"">Ha fóliát teszel a csempére, akkor látszani fog a fuga. A csempematrica viszont képes elfedni ezeket a mélyedéseket.\xa0</span></span></p>\n<p style=""text-align: justify;""><span style=""font-family: verdana, geneva, sans-serif; font-size: 15px;"">Ragad <strong>csempére</strong>, <strong>falra</strong>, <strong>üvegre</strong>, <strong>fára. </strong>Minden felületen nem tudtuk kipróbálni, ezért azt javasoljuk tesztelj.\xa0</span></p>\n<p style=""text-align: justify;""><span style=""font-family: verdana, geneva, sans-serif; font-size: 15px;"">Felrakás előtt a felületet portalanítani kell.\xa0</span></p>\n<p style=""text-align: justify;""><span style=""font-family: verdana, geneva, sans-serif; font-size: 15px;"">Ezen az öntapadós csempén van egy átlátszó <strong>védőréteg </strong>előről, azaz a mintás részén. Ezt felragasztás után el kell távolítani és a kész felületet nedves törlővel át kell törölni.\xa0</span></p>\n<p style=""text-align: justify;""><span style=""font-family: verdana, geneva, sans-serif; font-size: 15px;""><strong>Tisztítása</strong> hagyományos tisztítószerrel vagy törlőkendővel ideális. Semmi esetre se használj maró szert vagy súrold, mert sérülhet.</span></p>\n<p style=""text-align: justify;""><span style=""font-family: verdana, geneva, sans-serif; font-size: 15px;""><strong>Tűzhely</strong> közelében, illetve olyan helyre ahol <strong>folyamatos víz</strong> éri nem javasoljuk. Ennek ellenére sok vásárlónk saját felelősségre felrakta és évek óta használja, érdemes tesztelni.</span></p>\n<p style=""text-align: justify;""><span style=""font-family: verdana, geneva, sans-serif; font-size: 15px;"">Kétféle csempematricát különböztetünk meg a <strong>zselés</strong> és a <strong>fémeset</strong>. A zselés vékonyabb, hajlékonyabb, így a fugák mélyedéseiben könnyebben beletapad. A mély fugákra inkább a fémest javasoljuk, ami vastagabb, merevebb, jobban fed.</span></p>\n<p style=""text-align: justify;""><span style=""font-family: verdana, geneva, sans-serif; font-size: 15px;"">Az <strong>eltávolításnál</strong> nehézségbe ütközhetünk. Erős ragasztója van, a zseléset egyben, míg a fémeset csak darabokban fogod tudni eltávolítani és egy fekete ragacsot hagy majd maga után. Ha fóliát ragasztasz alá az segítség lehet ebben az esetben.</span></p>\n<p><span style=""font-size: 15px; font-family: verdana, geneva, sans-serif;""><span style=""font-weight: 400;"">Mekkora a </span><b>mérete</b><span style=""font-weight: 400;"">, hogy számoljam ki hány darabot vegyek?</span></span></p>\n<p style=""text-align: justify;""><span style=""font-family: verdana, geneva, sans-serif; font-size: 15px;""><span style=""font-weight: 400;"">Minden terméket vonalzóval fotóztunk, így jól látszik a szélessége, magassága. Kétféle csempematricánk van, az egyik aminek a széle </span><b>egyenes</b><span style=""font-weight: 400;"">, a másik amelyik </span><b>fogazatos</b><span style=""font-weight: 400;"">, egyik sor hosszabb, másik rövidebb. Ha egyik oldalon levágod a túllógást, azt a másikon be tudod illeszteni. Erre figyelj! Mindig azt mondom inkább vegyél többet, mert sosem lehet tudni tudunk-e még rendelni belőle pont abból a színből, méretből. </span></span></p>\n<p style=""text-align: center;""></p>'}"
live,918112,Eszközök,https://foliasjuci.hu/termekek/eszkozok,termekek/eszkozok,"{'Page': 'yes', 'Menu': 'yes'}",no,{'Id': '0'},8,"{'All': '37', 'New': '0'}","{'Description': 'Ezekre az eszközökre biztosan szükséged lesz, ha saját magad, szaki néllkül szeretnéd felújítani otthonodat', 'Title': 'Elengedhetetlen eszközök öntapadós fóliázáshoz'}","{'Keywords': 'Eszközök, Fóliás Juci'}",1671442887,{'Url': 'https://foliasjuci.hu/img/86997/catpic_918112/918112.jpg?time=1617368297'},"{'Top': '<p>A sikeres felújítás egyik titka a megfelelő eszköz.</p>\n<p><strong>Fóliázás eszközei:</strong></p>\n<p>alap a\xa0<strong>simító.\xa0</strong>Sokszor kérdezték az elmúlt évek alatt mivel lehet helyettesíteni. A válaszom mindig ugyanaz: nem lehet! Ez olyan, mintha ecset nélkül akarnánk kifesteni a lakást. A szivacs is jó lehet, de na, nem az igazi.\xa0</p>\n<p>A második fontos eszköz a\xa0<strong>szike</strong>. Kelleni fog még egy <strong>fémvonalzó</strong>, azért fém, mert a műanyagba belevághatunk és utána soha többé nem tudunk egy egyenest húzni. <strong>Vágóalátét</strong>, hogy ne az asztalt karcoljuk össze mikor\xa0 méretre akarjuk vágni a fóliát.</p>\n<p><strong>Sérült bútor esetén:\xa0</strong></p>\n<p>Ha apró hibákat rejt a szekrény, akkor ezeket <strong>fakittel</strong>, másnéven\xa0<strong>mestertapasszal</strong> tudjuk javítani. Utána a csiszolószivaccsal simára kell dörzsizni. Fóliázás előtt még portalanítani kell.</p>\n<p>Az alapokon kívül még sok hasznos eszközt találsz itt nálunk. Nézz szét vásárlás előtt.</p>'}"
live,332141,Fogantyúk,https://foliasjuci.hu/termekek/fogantyuk,termekek/fogantyuk,"{'Page': 'no', 'Menu': 'no'}",no,"{'Id': '918112', 'Tree': 'Eszközök'}",4,"{'All': '12', 'New': '0'}","{'Description': 'Ha Házilag (DIY) újítod fel bútoraidat öntapadós fóliával, akkor nagy változást érhetsz el, ha a fogantyúkat is lecseréled', 'Title': 'Bútor fogantyúk -  Fóliás Jucitól -  -  raktárról, azonnali szállítással'}","{'Keywords': 'Fogantyúk, Eszközök, Fóliás Juci'}",1666606466,{'Url': 'https://foliasjuci.hu/img/86997/catpic_332141/332141.jpg?time=1617368296'},
